Id,Year,Race,Driver,DriverNumber,Team,LapTime,Sector1Time,Sector2Time,Sector3Time,IsPersonalBest,Deleted,IsAccurate
1742,2018,Singapore Grand Prix,STR,18,Williams,0 days 00:01:41.334000,0 days 00:00:27.364000,0 days 00:00:39.026000,0 days 00:00:34.944000,True,False,True
1943,2018,Brazilian Grand Prix,PER,11,Racing Point,0 days 00:01:09.588000,0 days 00:00:17.989000,0 days 00:00:35.526000,0 days 00:00:16.073000,True,False,True
1946,2018,Brazilian Grand Prix,PER,11,Racing Point,0 days 00:01:09.217000,0 days 00:00:17.857000,0 days 00:00:35.391000,0 days 00:00:15.969000,True,False,True
1950,2018,Brazilian Grand Prix,PER,11,Racing Point,0 days 00:01:08.741000,0 days 00:00:17.747000,0 days 00:00:35.014000,0 days 00:00:15.980000,True,False,True
1958,2018,Brazilian Grand Prix,OCO,31,Racing Point,0 days 00:01:09.462000,0 days 00:00:17.858000,0 days 00:00:35.523000,0 days 00:00:16.081000,True,False,True
1963,2018,Brazilian Grand Prix,OCO,31,Racing Point,0 days 00:01:09.264000,0 days 00:00:17.845000,0 days 00:00:35.275000,0 days 00:00:16.144000,True,False,True
1967,2018,Brazilian Grand Prix,OCO,31,Racing Point,0 days 00:01:08.822000,0 days 00:00:17.595000,0 days 00:00:35.222000,0 days 00:00:16.005000,True,False,True
1970,2018,Brazilian Grand Prix,OCO,31,Racing Point,0 days 00:01:08.770000,0 days 00:00:17.749000,0 days 00:00:34.981000,0 days 00:00:16.040000,True,False,True
1976,2018,Brazilian Grand Prix,HUL,27,Renault,0 days 00:01:09.243000,0 days 00:00:18.012000,0 days 00:00:35.098000,0 days 00:00:16.133000,True,False,True
1979,2018,Brazilian Grand Prix,HUL,27,Renault,0 days 00:01:09.009000,0 days 00:00:17.802000,0 days 00:00:35.056000,0 days 00:00:16.151000,True,False,True
1982,2018,Brazilian Grand Prix,HUL,27,Renault,0 days 00:01:08.846000,0 days 00:00:17.853000,0 days 00:00:34.939000,0 days 00:00:16.054000,True,False,True
1988,2018,Brazilian Grand Prix,HUL,27,Renault,0 days 00:01:08.834000,0 days 00:00:18.011000,0 days 00:00:34.874000,0 days 00:00:15.949000,True,False,True
1991,2018,Brazilian Grand Prix,SIR,35,Williams,0 days 00:01:10.252000,0 days 00:00:17.935000,0 days 00:00:36.162000,0 days 00:00:16.155000,True,False,True
1994,2018,Brazilian Grand Prix,SIR,35,Williams,0 days 00:01:09.259000,0 days 00:00:17.949000,0 days 00:00:35.197000,0 days 00:00:16.113000,True,False,True
1999,2018,Brazilian Grand Prix,SIR,35,Williams,0 days 00:01:10.381000,0 days 00:00:18.417000,0 days 00:00:35.848000,0 days 00:00:16.116000,True,False,True
2002,2018,Brazilian Grand Prix,SAI,55,Renault,0 days 00:01:09.362000,0 days 00:00:17.997000,0 days 00:00:35.167000,0 days 00:00:16.198000,True,False,True
2008,2018,Brazilian Grand Prix,SAI,55,Renault,0 days 00:01:09.269000,0 days 00:00:17.968000,0 days 00:00:35.109000,0 days 00:00:16.192000,True,False,True
2030,2018,Brazilian Grand Prix,STR,18,Williams,0 days 00:01:10.477000,0 days 00:00:17.894000,0 days 00:00:36.459000,0 days 00:00:16.124000,True,False,True
2033,2018,Brazilian Grand Prix,STR,18,Williams,0 days 00:01:09.566000,0 days 00:00:17.963000,0 days 00:00:35.354000,0 days 00:00:16.249000,True,False,True
2036,2018,Brazilian Grand Prix,STR,18,Williams,0 days 00:01:09.441000,0 days 00:00:17.882000,0 days 00:00:35.475000,0 days 00:00:16.084000,True,False,True
2160,2018,Hungarian Grand Prix,SAI,55,Renault,0 days 00:01:30.771000,0 days 00:00:30.529000,0 days 00:00:31.507000,0 days 00:00:28.735000,True,False,True
2164,2018,Hungarian Grand Prix,SAI,55,Renault,0 days 00:01:39.502000,0 days 00:00:33.588000,0 days 00:00:36.806000,0 days 00:00:29.108000,True,False,True
