race_id,gp_year,gp_name,gp_round,driver_name,constructor,constructor_ref,is_williams,start_position,final_position,grid_delta
997,2018,Austrian Grand Prix,9,Esteban Ocon,Force India,force_india,false,11,6,5
1001,2018,Belgian Grand Prix,13,Esteban Ocon,Force India,force_india,false,3,6,-3
1002,2018,Italian Grand Prix,14,Esteban Ocon,Force India,force_india,false,8,6,2
998,2018,British Grand Prix,10,Esteban Ocon,Force India,force_india,false,10,7,3
977,2017,Austrian Grand Prix,9,Esteban Ocon,Force India,force_india,false,9,8,1
978,2017,British Grand Prix,10,Esteban Ocon,Force India,force_india,false,7,8,-1
979,2017,Hungarian Grand Prix,11,Esteban Ocon,Force India,force_india,false,11,9,2
980,2017,Belgian Grand Prix,12,Esteban Ocon,Force India,force_india,false,9,9,0
1005,2018,Japanese Grand Prix,17,Esteban Ocon,Force India,force_india,false,11,9,2
1002,2018,Italian Grand Prix,14,Sergey Sirotkin,Williams,williams,true,12,10,2
1001,2018,Belgian Grand Prix,13,Sergey Sirotkin,Williams,williams,true,16,12,4
997,2018,Austrian Grand Prix,9,Sergey Sirotkin,Williams,williams,true,17,13,4
993,2018,Spanish Grand Prix,5,Sergey Sirotkin,Williams,williams,true,19,14,5
998,2018,British Grand Prix,10,Sergey Sirotkin,Williams,williams,true,18,14,4
994,2018,Monaco Grand Prix,6,Sergey Sirotkin,Williams,williams,true,13,16,-3
1000,2018,Hungarian Grand Prix,12,Sergey Sirotkin,Williams,williams,true,20,16,4
1005,2018,Japanese Grand Prix,17,Sergey Sirotkin,Williams,williams,true,17,16,1
1008,2018,Brazilian Grand Prix,20,Sergey Sirotkin,Williams,williams,true,14,16,-2
1003,2018,Singapore Grand Prix,15,Sergey Sirotkin,Williams,williams,true,19,19,0
994,2018,Monaco Grand Prix,6,Carlos Sainz,Renault,renault,false,8,10,-2
1005,2018,Japanese Grand Prix,17,Carlos Sainz,Renault,renault,false,13,10,3
987,2017,Brazilian Grand Prix,19,Carlos Sainz,Renault,renault,false,8,11,-3
1001,2018,Belgian Grand Prix,13,Carlos Sainz,Renault,renault,false,14,11,3
997,2018,Austrian Grand Prix,9,Carlos Sainz,Renault,renault,false,9,12,-3
1008,2018,Brazilian Grand Prix,20,Carlos Sainz,Renault,renault,false,15,12,3
993,2018,Spanish Grand Prix,5,Carlos Sainz,Renault,renault,false,9,7,2
1002,2018,Italian Grand Prix,14,Carlos Sainz,Renault,renault,false,7,8,-1
1003,2018,Singapore Grand Prix,15,Carlos Sainz,Renault,renault,false,12,8,4
1000,2018,Hungarian Grand Prix,12,Carlos Sainz,Renault,renault,false,5,9,-4
964,2016,Japanese Grand Prix,17,Valtteri Bottas,Williams,williams,true,11,10,1
967,2016,Brazilian Grand Prix,20,Valtteri Bottas,Williams,williams,true,11,11,0
953,2016,Monaco Grand Prix,6,Valtteri Bottas,Williams,williams,true,10,12,-2
936,2015,Hungarian Grand Prix,10,Valtteri Bottas,Williams,williams,true,6,13,-7
931,2015,Monaco Grand Prix,6,Valtteri Bottas,Williams,williams,true,16,14,2
957,2016,British Grand Prix,10,Valtteri Bottas,Williams,williams,true,6,14,-8
930,2015,Spanish Grand Prix,5,Valtteri Bottas,Williams,williams,true,4,4,0
938,2015,Italian Grand Prix,12,Valtteri Bottas,Williams,williams,true,6,4,2
933,2015,Austrian Grand Prix,8,Valtteri Bottas,Williams,williams,true,6,5,1
934,2015,British Grand Prix,9,Valtteri Bottas,Williams,williams,true,4,5,-1
939,2015,Singapore Grand Prix,13,Valtteri Bottas,Williams,williams,true,7,5,2
940,2015,Japanese Grand Prix,14,Valtteri Bottas,Williams,williams,true,3,5,-2
944,2015,Brazilian Grand Prix,18,Valtteri Bottas,Williams,williams,true,7,5,2
952,2016,Spanish Grand Prix,5,Valtteri Bottas,Williams,williams,true,7,5,2
961,2016,Italian Grand Prix,14,Valtteri Bottas,Williams,williams,true,5,6,-1
960,2016,Belgian Grand Prix,13,Valtteri Bottas,Williams,williams,true,8,8,0
937,2015,Belgian Grand Prix,11,Valtteri Bottas,Williams,williams,true,3,9,-6
956,2016,Austrian Grand Prix,9,Valtteri Bottas,Williams,williams,true,7,9,-2
958,2016,Hungarian Grand Prix,11,Valtteri Bottas,Williams,williams,true,10,9,1
