,race_id,gp_year,gp_name,gp_round,driver_name,constructor,constructor_ref,is_williams,start_position,final_position,grid_delta,gained_or_lost,num_places
172,980,2017,Belgian Grand Prix,12,Kevin Magnussen,Haas F1 Team,haas,False,12,15,-3,lost,3
173,1026,2019,Japanese Grand Prix,17,Kevin Magnussen,Haas F1 Team,haas,False,19,15,4,gained,4
174,1002,2018,Italian Grand Prix,14,Kevin Magnussen,Haas F1 Team,haas,False,11,16,-5,lost,5
175,957,2016,British Grand Prix,10,Kevin Magnussen,Renault,renault,False,16,17,-1,lost,1
176,961,2016,Italian Grand Prix,14,Kevin Magnussen,Renault,renault,False,21,17,4,gained,4
177,1024,2019,Singapore Grand Prix,15,Kevin Magnussen,Haas F1 Team,haas,False,13,17,-4,lost,4
178,1003,2018,Singapore Grand Prix,15,Kevin Magnussen,Haas F1 Team,haas,False,16,18,-2,lost,2
179,1018,2019,Austrian Grand Prix,9,Kevin Magnussen,Haas F1 Team,haas,False,10,19,-9,lost,9
180,997,2018,Austrian Grand Prix,9,Kevin Magnussen,Haas F1 Team,haas,False,8,5,3,gained,3
181,993,2018,Spanish Grand Prix,5,Kevin Magnussen,Haas F1 Team,haas,False,7,6,1,gained,1
182,1000,2018,Hungarian Grand Prix,12,Kevin Magnussen,Haas F1 Team,haas,False,9,7,2,gained,2
183,1014,2019,Spanish Grand Prix,5,Kevin Magnussen,Haas F1 Team,haas,False,8,7,1,gained,1
184,984,2017,Japanese Grand Prix,16,Kevin Magnussen,Haas F1 Team,haas,False,12,8,4,gained,4
185,1001,2018,Belgian Grand Prix,13,Kevin Magnussen,Haas F1 Team,haas,False,9,8,1,gained,1
186,998,2018,British Grand Prix,10,Kevin Magnussen,Haas F1 Team,haas,False,7,9,-2,lost,2
187,1008,2018,Brazilian Grand Prix,20,Kevin Magnussen,Haas F1 Team,haas,False,10,9,1,gained,1
188,952,2016,Spanish Grand Prix,5,Esteban Gutiérrez,Haas F1 Team,haas,False,16,11,5,gained,5
189,953,2016,Monaco Grand Prix,6,Esteban Gutiérrez,Haas F1 Team,haas,False,12,11,1,gained,1
190,956,2016,Austrian Grand Prix,9,Esteban Gutiérrez,Haas F1 Team,haas,False,11,11,0,gained,0
191,962,2016,Singapore Grand Prix,15,Esteban Gutiérrez,Haas F1 Team,haas,False,13,11,2,gained,2
192,960,2016,Belgian Grand Prix,13,Esteban Gutiérrez,Haas F1 Team,haas,False,18,12,6,gained,6
193,958,2016,Hungarian Grand Prix,11,Esteban Gutiérrez,Haas F1 Team,haas,False,15,13,2,gained,2
194,961,2016,Italian Grand Prix,14,Esteban Gutiérrez,Haas F1 Team,haas,False,10,13,-3,lost,3
195,957,2016,British Grand Prix,10,Esteban Gutiérrez,Haas F1 Team,haas,False,14,16,-2,lost,2
196,964,2016,Japanese Grand Prix,17,Esteban Gutiérrez,Haas F1 Team,haas,False,10,20,-10,lost,10
197,958,2016,Hungarian Grand Prix,11,Nico Hülkenberg,Force India,force_india,False,9,10,-1,lost,1
198,961,2016,Italian Grand Prix,14,Nico Hülkenberg,Force India,force_india,False,9,10,-1,lost,1
199,987,2017,Brazilian Grand Prix,19,Nico Hülkenberg,Renault,renault,False,7,10,-3,lost,3
200,1003,2018,Singapore Grand Prix,15,Nico Hülkenberg,Renault,renault,False,10,10,0,gained,0
201,1019,2019,British Grand Prix,10,Nico Hülkenberg,Renault,renault,False,10,10,0,gained,0
202,931,2015,Monaco Grand Prix,6,Nico Hülkenberg,Force India,force_india,False,11,11,0,gained,0
203,1000,2018,Hungarian Grand Prix,12,Nico Hülkenberg,Renault,renault,False,13,12,1,gained,1
204,1021,2019,Hungarian Grand Prix,12,Nico Hülkenberg,Renault,renault,False,11,12,-1,lost,1
205,977,2017,Austrian Grand Prix,9,Nico Hülkenberg,Renault,renault,False,11,13,-2,lost,2
206,981,2017,Italian Grand Prix,13,Nico Hülkenberg,Renault,renault,False,14,13,1,gained,1
207,1002,2018,Italian Grand Prix,14,Nico Hülkenberg,Renault,renault,False,20,13,7,gained,7
208,1015,2019,Monaco Grand Prix,6,Nico Hülkenberg,Renault,renault,False,11,13,-2,lost,2
209,1018,2019,Austrian Grand Prix,9,Nico Hülkenberg,Renault,renault,False,15,13,2,gained,2
210,930,2015,Spanish Grand Prix,5,Nico Hülkenberg,Force India,force_india,False,17,15,2,gained,2
211,1029,2019,Brazilian Grand Prix,20,Nico Hülkenberg,Renault,renault,False,13,15,-2,lost,2
212,979,2017,Hungarian Grand Prix,11,Nico Hülkenberg,Renault,renault,False,12,17,-5,lost,5
213,956,2016,Austrian Grand Prix,9,Nico Hülkenberg,Force India,force_india,False,2,19,-17,lost,17
214,960,2016,Belgian Grand Prix,13,Nico Hülkenberg,Force India,force_india,False,7,4,3,gained,3
215,1023,2019,Italian Grand Prix,14,Nico Hülkenberg,Renault,renault,False,6,5,1,gained,1
216,933,2015,Austrian Grand Prix,8,Nico Hülkenberg,Force India,force_india,False,5,6,-1,lost,1
217,940,2015,Japanese Grand Prix,14,Nico Hülkenberg,Force India,force_india,False,13,6,7,gained,7
218,944,2015,Brazilian Grand Prix,18,Nico Hülkenberg,Force India,force_india,False,5,6,-1,lost,1
219,953,2016,Monaco Grand Prix,6,Nico Hülkenberg,Force India,force_india,False,5,6,-1,lost,1
220,973,2017,Spanish Grand Prix,5,Nico Hülkenberg,Renault,renault,False,13,6,7,gained,7
221,978,2017,British Grand Prix,10,Nico Hülkenberg,Renault,renault,False,5,6,-1,lost,1
222,980,2017,Belgian Grand Prix,12,Nico Hülkenberg,Renault,renault,False,7,6,1,gained,1
223,998,2018,British Grand Prix,10,Nico Hülkenberg,Renault,renault,False,11,6,5,gained,5
224,934,2015,British Grand Prix,9,Nico Hülkenberg,Force India,force_india,False,9,7,2,gained,2
225,938,2015,Italian Grand Prix,12,Nico Hülkenberg,Force India,force_india,False,9,7,2,gained,2
226,957,2016,British Grand Prix,10,Nico Hülkenberg,Force India,force_india,False,8,7,1,gained,1
227,967,2016,Brazilian Grand Prix,20,Nico Hülkenberg,Force India,force_india,False,8,7,1,gained,1
228,964,2016,Japanese Grand Prix,17,Nico Hülkenberg,Force India,force_india,False,9,8,1,gained,1
229,994,2018,Monaco Grand Prix,6,Nico Hülkenberg,Renault,renault,False,11,8,3,gained,3
230,1022,2019,Belgian Grand Prix,13,Nico Hülkenberg,Renault,renault,False,12,8,4,gained,4
231,1024,2019,Singapore Grand Prix,15,Nico Hülkenberg,Renault,renault,False,8,9,-1,lost,1
232,974,2017,Monaco Grand Prix,6,Jolyon Palmer,Renault,renault,False,16,11,5,gained,5
233,977,2017,Austrian Grand Prix,9,Jolyon Palmer,Renault,renault,False,16,11,5,gained,5
234,956,2016,Austrian Grand Prix,9,Jolyon Palmer,Renault,renault,False,19,12,7,gained,7
235,958,2016,Hungarian Grand Prix,11,Jolyon Palmer,Renault,renault,False,17,12,5,gained,5
236,964,2016,Japanese Grand Prix,17,Jolyon Palmer,Renault,renault,False,16,12,4,gained,4
237,979,2017,Hungarian Grand Prix,11,Jolyon Palmer,Renault,renault,False,10,12,-2,lost,2
238,984,2017,Japanese Grand Prix,16,Jolyon Palmer,Renault,renault,False,18,12,6,gained,6
239,952,2016,Spanish Grand Prix,5,Jolyon Palmer,Renault,renault,False,17,13,4,gained,4
240,980,2017,Belgian Grand Prix,12,Jolyon Palmer,Renault,renault,False,14,13,1,gained,1
241,960,2016,Belgian Grand Prix,13,Jolyon Palmer,Renault,renault,False,13,15,-2,lost,2
242,962,2016,Singapore Grand Prix,15,Jolyon Palmer,Renault,renault,False,18,15,3,gained,3
243,973,2017,Spanish Grand Prix,5,Jolyon Palmer,Renault,renault,False,17,15,2,gained,2
244,982,2017,Singapore Grand Prix,14,Jolyon Palmer,Renault,renault,False,11,6,5,gained,5
245,982,2017,Singapore Grand Prix,14,Esteban Ocon,Force India,force_india,False,14,10,4,gained,4
246,974,2017,Monaco Grand Prix,6,Esteban Ocon,Force India,force_india,False,15,12,3,gained,3
247,1000,2018,Hungarian Grand Prix,12,Esteban Ocon,Force India,force_india,False,18,13,5,gained,5
248,1008,2018,Brazilian Grand Prix,20,Esteban Ocon,Force India,force_india,False,18,15,3,gained,3
249,973,2017,Spanish Grand Prix,5,Esteban Ocon,Force India,force_india,False,10,5,5,gained,5
250,981,2017,Italian Grand Prix,13,Esteban Ocon,Force India,force_india,False,3,6,-3,lost,3
251,984,2017,Japanese Grand Prix,16,Esteban Ocon,Force India,force_india,False,5,6,-1,lost,1
252,994,2018,Monaco Grand Prix,6,Esteban Ocon,Force India,force_india,False,6,6,0,gained,0
253,997,2018,Austrian Grand Prix,9,Esteban Ocon,Force India,force_india,False,11,6,5,gained,5
254,1001,2018,Belgian Grand Prix,13,Esteban Ocon,Force India,force_india,False,3,6,-3,lost,3
255,1002,2018,Italian Grand Prix,14,Esteban Ocon,Force India,force_india,False,8,6,2,gained,2
256,998,2018,British Grand Prix,10,Esteban Ocon,Force India,force_india,False,10,7,3,gained,3
257,977,2017,Austrian Grand Prix,9,Esteban Ocon,Force India,force_india,False,9,8,1,gained,1
258,978,2017,British Grand Prix,10,Esteban Ocon,Force India,force_india,False,7,8,-1,lost,1
259,979,2017,Hungarian Grand Prix,11,Esteban Ocon,Force India,force_india,False,11,9,2,gained,2
260,980,2017,Belgian Grand Prix,12,Esteban Ocon,Force India,force_india,False,9,9,0,gained,0
261,1005,2018,Japanese Grand Prix,17,Esteban Ocon,Force India,force_india,False,11,9,2,gained,2
262,1002,2018,Italian Grand Prix,14,Sergey Sirotkin,Williams,williams,True,12,10,2,gained,2
263,1001,2018,Belgian Grand Prix,13,Sergey Sirotkin,Williams,williams,True,16,12,4,gained,4
264,997,2018,Austrian Grand Prix,9,Sergey Sirotkin,Williams,williams,True,17,13,4,gained,4
